user_id,rank,anime_id,name,genre,type,episodes,anime_average_rating,members,predicted_rating
42635,6,2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,8.78,562962,8.44768694864516
42635,7,66,Azumanga Daioh,"Comedy, School, Slice of Life",TV,26.0,8.06,170901,8.43987232697498
42635,8,17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26.0,8.8,205959,8.40735279642497
42635,9,4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24.0,9.06,456749,8.305291712125515
42635,10,1827,Seirei no Moribito,"Action, Adventure, Fantasy, Historical",TV,26.0,8.24,106888,8.301870925587172
45649,1,1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,8.82,486824,10.0
45649,2,1000,Uchuu Kaizoku Captain Harlock,"Action, Adventure, Drama, Sci-Fi, Seinen, Space",TV,42.0,7.87,14869,10.0
45649,3,10012,Carnival Phantasm,"Comedy, Parody, Supernatural",OVA,12.0,8.01,71976,10.0
45649,4,1002,Top wo Nerae 2! Diebuster,"Action, Comedy, Mecha, Sci-Fi, Space",OVA,6.0,7.81,38691,10.0
45649,5,10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"Comedy, Seinen, Slice of Life",ONA,4.0,7.66,101495,10.0
45649,6,10029,Coquelicot-zaka kara,"Historical, Romance, School, Shoujo",Movie,1.0,8.03,50689,10.0
45649,7,1003,Aa! Megami-sama! (TV) Specials,"Comedy, Magic, Romance, Seinen, Supernatural",Special,3.0,7.61,19257,10.0
45649,8,10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.53,151561,10.0
45649,9,10033,Toriko,"Action, Adventure, Comedy, Fantasy, Shounen",TV,147.0,7.74,54790,10.0
45649,10,1004,Kanojo to Kanojo no Neko,"Drama, Psychological, Romance, Slice of Life",OVA,1.0,7.52,53463,10.0
65836,1,1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,8.82,486824,10.0
65836,2,1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37.0,8.71,1013917,10.0
65836,3,820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110.0,9.11,80679,9.467631490489635
65836,4,13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25.0,8.53,288376,9.424185786620447
65836,5,9253,Steins;Gate,"Sci-Fi, Thriller",TV,24.0,9.17,673572,9.41218213041368
65836,6,457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26.0,8.78,300030,9.266579246908002
65836,7,263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75.0,8.83,157670,9.137492409837536
65836,8,4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24.0,9.06,456749,9.089899639640768
65836,9,2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,8.78,562962,9.05424843831852
65836,10,22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11.0,8.67,97187,9.000394549037031
